total_bill,tip,gender,smoker,day,time,size,predict,diff,predicted_tip,prediction_error
16.99,1.01,Female,No,Sun,Dinner,2,2.92,1.91,2.92,1.91
10.34,1.66,Male,No,Sun,Dinner,3,2.25,0.5900000000000001,2.25,0.5900000000000001
21.01,3.5,Male,No,Sun,Dinner,3,3.32,0.18000000000000016,3.32,0.18000000000000016
23.68,3.31,Male,No,Sun,Dinner,2,3.58,0.27,3.58,0.27
24.59,3.61,Female,No,Sun,Dinner,4,3.68,0.07000000000000028,3.68,0.07000000000000028
25.29,4.71,Male,No,Sun,Dinner,4,3.75,0.96,3.75,0.96
8.77,2,Male,No,Sun,Dinner,2,2.1,0.10000000000000009,2.1,0.10000000000000009
26.88,3.12,Male,No,Sun,Dinner,4,3.9,0.7799999999999998,3.9,0.7799999999999998
15.04,1.96,Male,No,Sun,Dinner,2,2.72,0.7600000000000002,2.72,0.7600000000000002
14.78,3.23,Male,No,Sun,Dinner,2,2.7,0.5299999999999998,2.7,0.5299999999999998
10.27,1.71,Male,No,Sun,Dinner,2,2.25,0.54,2.25,0.54
35.26,5,Female,No,Sun,Dinner,4,4.74,0.2599999999999998,4.74,0.2599999999999998
15.42,1.57,Male,No,Sun,Dinner,2,2.76,1.1899999999999997,2.76,1.1899999999999997
18.43,3,Male,No,Sun,Dinner,4,3.06,0.06000000000000005,3.06,0.06000000000000005
14.83,3.02,Female,No,Sun,Dinner,2,2.7,0.31999999999999984,2.7,0.31999999999999984
21.58,3.92,Male,No,Sun,Dinner,2,3.37,0.5499999999999998,3.37,0.5499999999999998
10.33,1.67,Female,No,Sun,Dinner,3,2.25,0.5800000000000001,2.25,0.5800000000000001
16.29,3.71,Male,No,Sun,Dinner,3,2.85,0.8599999999999999,2.85,0.8599999999999999
16.97,3.5,Female,No,Sun,Dinner,3,2.91,0.5899999999999999,2.91,0.5899999999999999
20.65,3.35,Male,No,Sat,Dinner,3,3.12,0.22999999999999998,3.12,0.22999999999999998
17.92,4.08,Male,No,Sat,Dinner,2,2.67,1.4100000000000001,2.67,1.4100000000000001
20.29,2.75,Female,No,Sat,Dinner,2,3.06,0.31000000000000005,3.06,0.31000000000000005
15.77,2.23,Female,No,Sat,Dinner,2,2.32,0.08999999999999986,2.32,0.08999999999999986
39.42,7.58,Male,No,Sat,Dinner,4,6.19,1.3899999999999997,6.19,1.3899999999999997
19.82,3.18,Male,No,Sat,Dinner,2,2.98,0.20000000000000018,2.98,0.20000000000000018
17.81,2.34,Male,No,Sat,Dinner,4,2.65,0.31000000000000005,2.65,0.31000000000000005
13.37,2,Male,No,Sat,Dinner,2,1.93,0.07000000000000006,1.93,0.07000000000000006
12.69,2,Male,No,Sat,Dinner,2,1.82,0.17999999999999994,1.82,0.17999999999999994
21.7,4.3,Male,No,Sat,Dinner,2,3.29,1.0099999999999998,3.29,1.0099999999999998
19.65,3,Female,No,Sat,Dinner,2,2.95,0.04999999999999982,2.95,0.04999999999999982
9.55,1.45,Male,No,Sat,Dinner,2,1.3,0.1499999999999999,1.3,0.1499999999999999
18.35,2.5,Male,No,Sat,Dinner,4,2.74,0.2400000000000002,2.74,0.2400000000000002
15.06,3,Female,No,Sat,Dinner,2,2.2,0.7999999999999998,2.2,0.7999999999999998
20.69,2.45,Female,No,Sat,Dinner,4,3.13,0.6799999999999997,3.13,0.6799999999999997
17.78,3.27,Male,No,Sat,Dinner,2,2.65,0.6200000000000001,2.65,0.6200000000000001
24.06,3.6,Male,No,Sat,Dinner,3,3.68,0.08000000000000007,3.68,0.08000000000000007
